fs,D0,N0,D1,N1,D2,N2,R
-29.724609375000004,(0.41387268900871277+0.45895302295684814j),(0.013342861086130142-0.00014414754696190357j),(0.4135189354419708+0.4589431583881378j),(0.009949233382940292+0.0010007163509726524j),(0.41297492384910583+0.459011048078537j),(0.004750602412968874+0.0004980323719792068j),(0.9941244721412659+0.0006731999455951154j)
-29.715820312499996,(0.39874863624572754+0.532922625541687j),(0.01335179153829813-0.00014121143613010645j),(0.39838311076164246+0.5327837467193604j),(0.009955346584320068+0.0010022276546806097j),(0.39781418442726135+0.5328075885772705j),(0.004753657151013613+0.0004977644421160221j),(0.994002640247345+0.0006476863636635244j)
-29.707031249999986,(0.380928635597229+0.6034708619117737j),(0.013360538519918919-0.00013827087241224945j),(0.3805523216724396+0.6032087802886963j),(0.009961315430700779+0.0010037360480055213j),(0.37996214628219604+0.6031913161277771j),(0.004756659269332886+0.0004974964540451765j),(0.9938802123069763+0.0006229592836461961j)
-29.6982421875,(0.3604969084262848+0.6701303124427795j),(0.013369106687605381-0.0001353241823380813j),(0.36011019349098206+0.6697518229484558j),(0.009967134334146976+0.0010052442084997892j),(0.35950279235839844+0.6696959137916565j),(0.004759610164910555+0.0004972282331436872j),(0.9937572479248047+0.0005988823832012713j)
-29.689453124999996,(0.33755549788475037+0.7324588894844055j),(0.013377494178712368-0.00013236921222414821j),(0.33715927600860596+0.7319712042808533j),(0.009972804225981236+0.00100675318390131j),(0.3365385830402374+0.7318794131278992j),(0.004762508440762758+0.0004969599540345371j),(0.9936343431472778+0.000575341924559325j)
-29.680664062500004,(0.3122243881225586+0.7900422215461731j),(0.013385700061917305-0.00012941115710418671j),(0.31181877851486206+0.789453387260437j),(0.009978328831493855+0.0010082611115649343j),(0.31118887662887573+0.7893288731575012j),(0.004765354096889496+0.0004966906271874905j),(0.9935108423233032+0.0005525654414668679j)
-29.671875000000007,(0.284639447927475+0.8424970507621765j),(0.013393724337220192-0.00012644409434869885j),(0.2842247188091278+0.841815173625946j),(0.009983706288039684+0.0010097685735672712j),(0.2835899591445923+0.841660737991333j),(0.00476814666762948+0.0004964217077940702j),(0.9933872222900391+0.0005304372753016651j)
-29.6630859375,(0.2549532651901245+0.8894727230072021j),(0.013401567004621029-0.0001234735973412171j),(0.2545296847820282+0.8887070417404175j),(0.009988933801651001+0.0010112751042470336j),(0.25389376282691956+0.8885260224342346j),(0.004770889412611723+0.0004961523809470236j),(0.9932634234428406+0.0005088525940664113j)
-29.654296874999993,(0.22333291172981262+0.9306553602218628j),(0.013409228064119816-0.00012049699580529705j),(0.22290045022964478+0.9298150539398193j),(0.00999401044100523+0.0010127814020961523j),(0.22226761281490326+0.9296107292175293j),(0.004773577209562063+0.0004958831123076379j),(0.9931394457817078+0.0004879574407823384j)
-29.645507812499996,(0.18996089696884155+0.9657676815986633j),(0.013416708447039127-0.00011751242709578946j),(0.18951904773712158+0.9648625254631042j),(0.009998940862715244+0.0010142851388081908j),(0.18889325857162476+0.9646381139755249j),(0.004776214249432087+0.0004956129705533385j),(0.9930155873298645+0.0004677088581956923j)
-29.636718750000004,(0.15503127872943878+0.994572639465332j),(0.01342400535941124-0.00011452478793216869j),(0.15458010137081146+0.9936126470565796j),(0.010003720410168171+0.0010157892247661948j),(0.15396538376808167+0.9933715462684631j),(0.00477879773825407+0.0004953424795530736j),(0.9928916096687317+0.00044813568820245564j)
-29.6279296875,(0.1187518909573555+1.0168741941452026j),(0.013431119732558727-0.00011152904335176572j),(0.11829105764627457+1.0158694982528687j),(0.010008352808654308+0.0010172957554459572j),(0.11769098788499832+1.0156149864196777j),(0.004781328607350588+0.0004950732109136879j),(0.9927677512168884+0.0004293163656257093j)
-29.619140625,(0.08134040236473083+1.0325186252593994j),(0.01343805156648159-0.00010853022104129195j),(0.08086960017681122+1.0314797163009644j),(0.010012834332883358+0.0010187969310209155j),(0.08028777688741684+1.031214952468872j),(0.004783805925399065+0.0004948027199134231j),(0.9926437139511108+0.0004111168091185391j)
-29.610351562499996,(0.04302441328763962+1.0413954257965088j),(0.013444802723824978-0.00010552351886872202j),(0.04254275932908058+1.040332555770874j),(0.010017168708145618+0.001020302064716816j),(0.04198266565799713+1.040061354637146j),(0.004786231555044651+0.0004945324035361409j),(0.9925200939178467+0.00039360744995065033j)
-29.601562499999996,(0.004039369989186525+1.0434387922286987j),(0.013451368547976017-0.00010251079947920516j),(0.003546294290572405+1.0423628091812134j),(0.010021352209150791+0.001021803356707096j),(0.0030113859102129936+1.0420879125595093j),(0.004788605030626059+0.000494261970743537j),(0.9923964738845825+0.0003768867172766477j)
-29.592773437499993,(-0.03537211939692497+1.03862726688385j),(0.01345775369554758-9.94934598566033e-05j),(-0.0358772799372673+1.0375487804412842j),(0.010025386698544025+0.0010233053471893072j),(-0.03638429939746857+1.0372735261917114j),(0.004790925420820713+0.000493992178235203j),(0.9922731518745422+0.00036073787487111986j)
